,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
39,740,Germany,Male,33,2,126524.11,1,1,0,136869.31,0
40,559,France,Female,34,5,68999.66,2,1,1,66879.27,0
41,549,France,Male,37,2,112541.54,2,0,0,47432.43,0
42,648,France,Female,37,7,0.0,2,1,0,194238.92,0
43,551,Germany,Male,50,1,121399.98,1,0,1,84508.44,1
44,612,France,Male,24,1,182705.05,1,1,1,171837.06,0
45,747,Spain,Male,41,9,0.0,1,1,0,32430.94,1
46,418,France,Female,46,9,0.0,1,1,1,81014.5,1
47,597,Germany,Female,43,7,119127.46,2,1,0,55809.92,0
48,685,France,Male,33,6,174912.72,1,1,1,43932.54,0
49,444,France,Female,40,5,84350.07,1,1,0,143835.76,0
50,550,France,Male,22,6,154377.3,1,1,1,51721.52,0
51,627,Germany,Male,30,3,128770.88,2,1,1,40199.01,0
52,537,Spain,Female,38,1,96939.06,1,1,1,102606.92,0
53,814,France,Male,31,1,118870.92,1,1,0,101704.19,0
54,583,France,Female,42,7,0.0,2,1,0,144039.05,0
55,626,France,Female,44,2,0.0,1,0,1,173117.22,1
56,610,France,Female,45,1,0.0,2,1,1,199657.46,0
57,601,France,Male,29,9,0.0,1,1,1,80393.27,0
58,759,Spain,Male,38,1,0.0,2,1,0,20778.39,0
59,807,Germany,Female,31,1,93460.47,2,0,0,172782.69,0
60,714,France,Female,26,9,89928.99,1,1,0,46203.31,0
61,589,France,Male,29,2,0.0,2,0,1,98320.27,0
62,731,Germany,Male,37,3,116880.53,1,0,0,172718.35,1
63,637,Germany,Male,51,1,104682.83,1,1,0,55266.96,1
64,653,Germany,Male,31,9,143321.97,1,1,0,83679.46,0
65,622,France,Female,31,1,89688.94,1,1,1,152305.47,0
66,809,France,Female,39,5,0.0,1,1,0,77705.75,0
67,620,Spain,Male,21,9,0.0,1,0,0,154882.79,0
68,690,France,Male,47,2,0.0,2,1,0,151375.73,0
69,526,Spain,Male,66,7,132044.6,2,1,1,158365.89,0
70,720,France,Male,52,7,0.0,1,1,1,14781.12,0
71,703,France,Male,37,8,105961.68,2,0,1,74158.8,0
72,549,Spain,Male,25,6,193858.2,1,0,1,21600.11,0
73,651,Spain,Male,45,4,0.0,2,0,0,193009.21,0
74,498,Germany,Female,44,2,120702.67,2,1,1,98175.74,0
75,786,Germany,Male,24,2,120135.55,2,1,1,125449.47,0
76,754,Spain,Male,40,2,160625.17,1,0,1,3554.63,0
77,594,France,Female,56,7,0.0,1,1,0,26215.85,1
78,491,France,Female,36,0,53369.13,1,1,1,103934.12,0
79,642,France,Female,40,7,0.0,2,1,0,10712.82,0
80,610,Spain,Male,42,6,0.0,2,1,0,158302.59,1
81,625,France,Female,39,5,0.0,2,1,0,32615.21,0
82,543,NotReported,Female,25,1,146566.01,1,0,1,161407.48,0
83,606,Spain,Male,37,8,154712.58,2,1,0,89099.18,0
84,677,Spain,Male,18,8,134796.87,2,1,1,114858.9,0
85,590,Spain,Female,34,6,0.0,2,1,0,171021.44,0
86,587,France,Male,33,5,100116.82,1,1,0,34215.58,0
87,781,Spain,Male,35,4,80790.74,1,1,0,116429.51,0
88,721,France,Female,55,3,44020.89,1,1,0,65864.4,1
89,448,Spain,Male,25,2,0.0,2,0,0,95215.73,0
90,710,France,Male,21,4,109130.96,2,1,1,56191.99,0
91,513,Spain,Male,88,10,0.0,2,1,1,52952.24,0
92,605,France,Female,34,2,0.0,1,0,0,35982.42,0
93,494,France,Male,25,6,0.0,2,0,1,109988.09,0
94,756,Germany,Female,39,3,100717.85,3,1,1,73406.04,1
95,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0
96,526,France,Male,52,8,93590.47,1,0,1,21228.71,1
97,554,France,Female,26,7,92606.86,2,1,0,192709.69,0
98,543,Spain,Male,41,5,0.0,2,0,1,143980.29,0
99,696,Germany,Male,30,4,114027.7,1,1,1,193716.56,0
100,795,Spain,Female,56,5,0.0,1,1,0,35418.69,1
101,553,France,Male,37,2,0.0,1,1,0,33877.29,0
102,432,Germany,Female,45,3,110219.14,1,1,0,43046.7,1
103,727,Spain,Male,38,2,62276.99,1,1,1,59280.79,0
104,531,Spain,Male,70,1,0.0,2,0,0,99503.19,0
105,509,Spain,Male,38,2,0.0,1,0,0,168460.12,0
106,582,France,Female,29,0,0.0,1,1,1,84012.81,0
107,607,Germany,NotSpecified,40,5,90594.55,1,0,1,181598.25,0
108,432,France,Female,27,6,62339.81,2,0,0,53874.67,0
109,653,Spain,Male,35,6,116662.96,2,1,2,23864.21,0
110,629,France,Female,39,10,0.0,2,1,1,43174.49,1
111,447,France,Male,41,3,0.0,4,1,1,197490.39,1
112,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
113,494,Spain,Male,67,5,0.0,2,1,1,85890.16,0
114,562,Germany,Male,33,8,92659.2,2,1,0,1354.25,0
115,731,Spain,Male,70,3,0.0,2,1,1,141180.66,0
116,490,Spain,Male,40,6,156111.08,1,0,0,190889.13,0
117,591,France,Male,24,6,147360.0,1,1,1,25310.82,0
118,807,Germany,Male,37,10,130110.45,2,0,1,172097.95,0
119,627,Spain,Male,49,4,111087.5,1,0,1,146680.25,0
120,691,France,Male,34,8,133936.04,2,1,0,91359.79,0
121,453,Germany,Female,38,8,120623.21,1,1,0,129697.99,0
122,707,France,Female,49,10,0.0,1,1,0,82967.97,1
123,690,Spain,Female,30,5,0.0,2,0,1,78700.03,0
124,663,Germany,Female,46,6,95439.4,1,1,1,21038.58,1
125,791,France,Male,34,7,0.0,2,1,0,96734.46,0
126,455,France,Male,40,1,0.0,3,0,1,129975.34,0
127,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
128,599,Germany,Male,45,5,103583.05,1,1,0,132127.69,1
129,654,Germany,Male,37,5,112146.12,1,1,0,75927.35,0
130,575,France,Male,27,3,139301.68,1,1,0,99843.98,0
131,719,France,Male,61,5,0.0,2,0,2,29132.43,0
132,637,France,Male,41,2,0.0,2,0,1,102515.42,0
133,850,France,Male,40,8,102800.65,1,1,0,60811.56,0
134,722,Germany,Female,40,6,89175.06,2,0,1,152883.95,0
135,710,Spain,Female,27,2,135277.96,1,1,0,142200.15,0
136,485,Spain,Female,30,7,0.0,1,1,0,107067.37,0
137,779,France,Male,27,1,0.0,2,1,1,190623.02,0
138,634,France,Male,37,5,115345.86,2,0,0,168781.8,0
139,693,Germany,Male,44,5,124601.58,2,1,1,46998.13,1
140,808,Germany,Female,37,2,100431.84,1,1,0,35140.49,1
141,438,Germany,Male,59,7,127197.14,1,1,0,51565.98,1
142,670,Germany,Female,42,5,49508.79,3,1,1,100324.01,0
143,497,Germany,Female,32,8,111537.23,4,1,1,9497.99,1
144,543,Germany,Male,48,1,100900.5,1,0,0,33310.72,1
145,850,France,Male,38,7,80293.98,1,0,0,126555.74,0
146,553,France,Male,33,4,118082.89,1,0,0,94440.45,0
147,674,France,Female,31,1,0.0,1,1,0,128954.05,0
148,529,France,Female,37,7,0.0,2,1,1,175697.87,0
149,744,France,Male,54,6,93806.31,2,0,1,140068.77,0
150,594,France,Male,36,6,153880.15,1,0,0,135431.72,0
151,662,Spain,Male,38,4,0.0,2,1,0,136259.65,0
152,670,Spain,Male,25,6,0.0,2,1,1,78358.94,0
153,530,Spain,Male,44,6,0.0,2,0,0,55893.37,0
154,693,Germany,Male,46,2,104763.41,1,1,1,62368.33,0
155,653,France,Female,42,1,0.0,2,1,1,5768.32,0
156,850,Germany,Male,44,2,112755.34,2,0,0,158171.36,0
157,850,France,Male,33,0,124781.67,1,0,1,33700.52,0
158,733,France,Female,38,3,157658.36,1,0,0,19658.43,0
159,700,NotReported,Female,36,4,0.0,2,1,0,130789.15,0
160,630,Spain,Male,26,7,0.0,2,1,1,6656.64,0
161,543,France,Male,36,4,0.0,2,1,1,141210.5,0
162,583,Germany,Female,54,6,115988.86,1,1,0,57553.98,1
163,553,Spain,Male,42,7,0.0,2,1,0,7680.23,0
164,793,Germany,Male,54,2,128966.13,1,0,0,18633.4,1
165,588,France,Female,27,8,0.0,1,1,0,20066.38,0
166,660,Spain,Female,28,3,128929.88,1,1,1,198069.71,0
167,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0
168,664,Spain,Female,53,7,187602.18,1,1,0,186392.99,1
169,705,Spain,Female,47,3,63488.7,1,0,1,28640.92,1
170,627,France,Male,33,5,0.0,2,1,1,103737.82,0
171,634,Germany,Female,37,8,130036.21,2,0,1,69849.55,0
172,691,France,Female,44,6,134066.1,2,1,1,197572.41,0
173,724,NotReported,Female,35,0,171982.95,2,0,1,167313.07,0
174,644,Germany,Male,35,5,161591.11,3,1,1,63795.62,0
175,700,Spain,Male,54,1,79415.67,1,0,1,139735.54,0
176,589,Germany,Female,36,9,140355.56,1,1,0,136329.96,0
177,680,Germany,Male,44,0,129974.79,2,1,1,33391.38,0
178,617,Spain,Male,42,0,70105.87,1,1,1,120830.73,0
179,705,Spain,Male,39,6,133261.13,1,1,1,78065.9,0
180,831,France,Female,34,2,0.0,2,0,0,165840.94,0
181,643,France,Female,31,3,167949.48,1,1,0,143162.34,0
182,521,France,Male,35,6,96423.84,1,1,0,10488.44,0
183,565,France,Male,46,7,135369.71,1,0,1,140130.22,0
184,477,Germany,Female,58,8,145984.92,1,1,1,24564.7,0
185,505,NotReported,Male,43,5,136855.94,2,1,0,171070.52,0
186,526,Germany,Male,34,3,122726.56,1,1,1,46772.36,0
187,788,Spain,Female,70,1,0.0,2,1,1,41610.62,0
188,586,France,Female,35,7,0.0,2,1,0,70760.69,0
189,445,Germany,Female,61,2,76534.49540312754,1,0,1,29909.84,0
190,702,Spain,Female,38,9,0.0,2,1,1,158527.45,0
191,803,France,Female,65,2,151659.52,2,0,1,6930.17,0
192,662,France,Male,34,2,117731.79,2,0,1,55120.79,0
193,537,Spain,Female,38,6,141786.78,1,0,1,147797.54,0
194,700,France,Female,82,2,0.0,2,0,1,182055.36,0
195,636,France,Male,42,2,0.0,2,1,1,55470.78,0
196,610,France,Male,34,0,103108.17,1,0,0,125646.82,0
197,525,Spain,NotSpecified,57,2,145965.33,1,1,1,64448.36,0
198,618,France,Male,48,7,0.0,1,1,0,13921.82,1
199,624,France,Male,36,6,0.0,2,0,0,84749.96,0
200,513,France,Female,43,9,0.0,2,1,0,152499.8,0
201,673,Spain,Female,32,0,0.0,1,1,1,72873.33,0
202,620,France,Female,67,3,0.0,2,1,1,43486.73,0
203,576,Spain,Male,52,2,100549.43,2,1,1,16644.16,0
204,730,France,Female,36,8,148749.29,2,1,0,91830.75,0
205,607,France,Female,39,10,0.0,3,1,0,132741.13,1
206,750,NotReported,Male,42,8,151836.36,2,1,0,68695.38,0
207,684,Germany,Male,37,4,138476.41,2,1,1,52367.29,0
208,774,Germany,Male,34,4,120875.23,2,0,1,113407.26,0
209,568,France,Male,51,4,0.0,3,1,1,66586.56,0
210,678,Spain,Female,61,8,0.0,2,1,1,159938.82,0
211,486,Germany,Male,37,1,101438.0,1,0,0,51364.56,0
212,708,Spain,Female,64,5,0.0,1,0,1,112520.07,1
213,728,Germany,Female,33,9,150412.14,2,1,0,170764.08,0
214,709,France,Male,32,4,147307.91,1,0,1,40861.55,0
215,562,Germany,Female,39,6,130565.02,1,1,0,9854.72,1
216,795,Spain,Male,35,8,0.0,2,1,0,167155.36,0
217,756,Germany,Female,60,3,115924.89,1,1,0,93524.19,1
218,718,France,Female,41,1,0.0,2,0,1,27509.52,1
219,717,Spain,Female,36,2,164557.95,1,0,1,82336.73,0
220,662,Spain,Female,30,9,0.0,2,0,1,157884.83,0
221,421,France,Male,34,2,0.0,2,1,1,96615.23,0
222,610,Spain,Male,29,9,0.0,3,0,1,83912.24,0
223,499,Germany,Female,44,6,77627.33,2,1,0,108222.68,0
224,657,Spain,Male,75,7,126273.95,1,0,1,91673.6,0
225,648,France,Female,39,6,130694.89,2,1,1,153955.38,1
226,678,Germany,Male,36,6,118448.15,2,1,0,53172.02,0
227,709,France,Female,41,3,150300.65,2,1,0,71672.86,0
228,756,Spain,Male,19,4,130274.22,1,1,1,133535.29,0
229,422,Spain,Female,54,4,0.0,2,1,1,7166.71,0
230,558,Germany,Male,26,1,148853.29,2,1,1,24411.02,0
231,755,France,Male,36,8,0.0,2,1,0,176809.87,0
232,650,France,Male,32,2,84906.45,1,1,0,163216.48,0
233,668,France,Male,46,0,0.0,2,0,0,29388.02,0
234,697,Spain,Male,30,1,0.0,2,0,0,735.79,0
235,430,Germany,Female,66,6,135392.31,2,1,1,172852.06,1
236,630,France,Male,50,8,0.0,2,0,1,79377.45,0
237,728,France,NotSpecified,46,2,109705.52,1,1,0,20276.87,1
238,491,Germany,Male,19,2,125860.2,1,0,0,129690.5,0
239,593,Spain,Male,43,10,0.0,2,0,0,53478.02,0
240,726,France,Female,38,4,0.0,2,0,0,6787.48,0
241,497,Germany,Female,55,7,131778.66,1,1,1,9972.64,0
242,667,France,Male,48,2,0.0,1,2,0,43229.2,0
243,664,France,Male,46,2,0.0,1,1,1,177423.02,1
244,611,France,Female,40,8,100812.33,2,1,0,147358.27,0
245,583,France,Female,27,1,125406.58,1,1,1,110784.42,0
246,707,France,Female,46,7,127476.73,1,1,1,146011.55,0
247,626,Spain,Male,26,8,0.0,2,0,0,191420.71,0
248,646,France,Male,38,7,0.0,2,1,0,1528.4,0
249,715,Spain,Male,31,7,0.0,1,1,1,149970.59,0
250,797,Germany,Male,32,1,151922.94,1,1,0,8877.06,0
251,699,France,Male,29,3,125689.29,1,1,1,151623.71,0
252,656,France,Male,30,3,0.0,2,0,1,17104.0,0
253,763,Germany,Male,32,9,160680.41,1,1,0,30886.35,0
254,845,Spain,Female,52,0,0.0,1,1,0,31726.76,1
255,689,NotReported,Female,40,5,154251.67,1,0,1,118319.5,0
256,572,France,Male,24,1,0.0,2,1,1,151460.84,0
257,631,Germany,Male,37,8,138292.64,2,0,0,152422.91,1
258,773,France,Male,45,8,96877.21,1,1,1,113950.51,0
259,547,France,Female,35,4,0.0,1,1,1,133287.73,0
260,729,Germany,Male,29,5,109676.52,1,1,1,25548.47,0
261,524,France,Female,36,10,0.0,2,1,0,109614.57,0
262,850,France,Male,35,2,0.0,2,1,1,56991.66,0
263,569,Germany,Female,42,9,146100.75,1,1,0,32574.01,1
264,456,Germany,Male,32,9,133060.63,1,1,1,125167.92,0
265,453,France,NotSpecified,29,6,0.0,1,0,0,198376.02,1
266,750,France,Male,38,5,151532.4,1,1,1,46555.15,0
267,548,France,Female,32,2,76534.49540312754,1,1,0,188083.77,1
268,598,France,Male,64,1,0.0,1,1,0,195635.3,1
269,600,Spain,NotSpecified,27,6,0.0,2,1,1,172031.22,0
270,602,France,Male,23,7,113758.48,2,0,0,84077.6,0
271,693,Spain,Female,57,9,0.0,2,1,1,135502.77,0
272,620,Germany,Male,40,5,108197.11,2,1,0,49722.34,0
273,531,France,Female,37,1,0.0,1,1,0,4606.97,0
274,823,France,Male,37,5,164858.18,1,1,1,173516.71,0
275,652,France,Female,31,3,103696.97,3,0,0,155221.05,1
276,511,Germany,Female,75,9,105609.17,1,0,1,105425.18,0
277,702,France,Male,40,7,145536.9,1,0,1,135334.24,0
278,672,Germany,Female,21,3,165878.76,2,1,1,164537.17,0
279,669,France,Male,29,7,0.0,2,1,1,138145.62,0
280,835,France,Male,28,2,163569.61,2,1,1,154559.28,0
281,850,France,Female,34,2,0.0,2,0,0,51919.04,0
282,603,Spain,Female,42,6,0.0,1,1,1,90437.87,0
283,850,France,Female,37,4,0.0,2,1,1,33082.81,0
284,616,Germany,Female,45,6,128352.59,3,1,1,144000.59,1
285,624,France,Male,44,3,0.0,2,1,0,88407.51,0
286,659,Germany,Male,36,2,76190.48,2,1,1,149066.14,0
287,665,France,Female,40,6,0.0,1,1,1,161848.03,0
288,516,France,Male,46,2,0.0,2,1,1,169122.54,0
289,695,France,Female,42,5,0.0,1,0,1,72172.13,1
290,747,France,Female,40,3,0.0,1,0,0,57817.84,1
291,783,Germany,Female,58,3,127539.3,1,1,1,96590.39,1
292,673,France,Male,72,1,0.0,2,0,1,111981.19,0
293,617,France,Female,79,7,0.0,1,1,1,160589.18,0
294,721,Germany,Female,45,7,138523.2,1,0,0,59604.45,1
295,776,Germany,Female,37,1,93124.04,2,1,1,196079.32,0
296,592,France,Female,34,9,0.0,2,1,1,20460.2,0
297,647,France,Female,33,4,0.0,1,1,0,152323.04,0
298,768,Spain,Female,44,6,60603.4,1,1,1,178045.97,0
299,615,Spain,Male,41,1,126773.43,1,1,1,55551.26,0
300,449,France,Male,52,6,0.0,2,0,1,123622.0,0
301,478,Spain,Female,36,3,92363.3,2,1,0,44912.7,0
302,557,France,Female,39,7,76534.49540312754,1,1,0,115287.99,1
303,580,France,Female,65,9,106804.26,3,1,0,107890.69,1
304,836,France,Female,29,9,133681.78,1,1,1,153747.73,0
305,545,France,Male,38,1,88293.13,2,1,1,24302.95,0
306,588,Germany,Female,30,0,110148.49,1,1,0,5790.9,1
307,681,Germany,Male,37,8,73179.34,2,1,1,25292.53,0
308,619,France,Male,25,4,0.0,1,1,0,145524.36,0
309,716,Germany,Female,39,10,115301.31,1,1,0,43527.4,1
310,744,France,Male,47,9,0.0,2,1,0,113163.17,0
311,575,France,Male,36,7,0.0,1,1,1,55868.97,1
312,634,Germany,Male,74,5,108891.7,1,1,0,10078.02,0
313,640,France,Female,30,6,107499.7,1,1,1,187632.22,0
314,702,Germany,Male,28,1,103033.83,1,1,1,40321.87,0
315,530,France,Female,45,1,0.0,1,0,1,190663.89,1
316,714,Germany,Female,55,9,180075.22,1,1,1,100127.71,0
317,667,France,Male,43,8,190227.46,1,1,0,97508.04,1
318,650,Spain,Female,37,3,86605.5,3,1,0,16649.31,1
319,485,Germany,Male,51,7,144244.59,2,1,0,51113.14,0
320,546,Spain,Female,36,7,85660.96,1,0,0,134778.01,0
321,632,France,Male,50,2,0.0,2,0,0,57942.88,0
322,841,France,Female,52,5,0.0,1,0,0,183239.71,1
323,535,France,Male,45,2,0.0,2,1,0,125658.28,0
324,837,France,Female,37,2,0.0,2,1,1,46395.21,0
325,447,France,Male,43,2,0.0,2,1,0,33879.26,1
326,569,France,Female,44,4,0.0,2,0,0,134394.78,0
327,577,France,Female,46,5,0.0,1,1,1,158750.53,0
328,503,France,Male,38,1,0.0,2,1,1,95153.24,0
329,641,Spain,Female,36,1,0.0,2,1,0,102021.39,0
330,570,France,Female,43,9,0.0,2,0,1,11417.26,0
331,645,Germany,Female,37,2,136925.09,2,0,1,153400.24,0
332,525,Germany,Male,33,4,131023.76,2,0,0,55072.93,0
333,676,Spain,Female,64,4,116954.32,1,1,1,91149.48,0
334,602,Spain,Male,33,5,0.0,2,0,1,64038.34,0
335,805,France,Male,39,2,0.0,1,0,0,166650.32,0
336,653,Spain,Female,30,2,88243.29,2,1,1,96658.26,0
337,690,Germany,Male,43,2,166522.78,1,0,0,119644.59,1
338,699,Germany,Female,41,1,200117.76,2,2,0,94142.35,0
339,664,France,Female,37,7,93920.47,1,0,0,179913.98,0
340,555,Spain,Male,21,1,0.0,2,0,0,103901.35,0
341,718,Spain,Male,34,5,113922.44,2,1,0,30772.22,0
342,635,France,Male,42,1,146766.72,2,0,1,164357.1,0
343,537,France,Female,38,10,0.0,1,0,0,52337.97,1
344,841,Germany,Female,52,3,112383.03,1,1,0,85516.37,1
345,612,France,Male,32,3,121394.42,1,1,0,164081.42,0
346,829,Germany,Female,37,3,103457.76,1,0,0,1114.12,0
347,614,Germany,Female,35,6,128100.28,1,0,0,69454.24,1
348,762,France,Male,32,10,191775.65,1,1,0,179657.83,0
349,640,France,Male,44,3,137148.68,1,1,0,92381.01,0
350,778,France,Female,37,7,0.0,1,1,1,77867.23,0
351,702,France,Male,45,0,80793.58,1,1,1,27474.81,0
352,746,Spain,Male,30,1,112666.67,1,0,0,11710.4,1
353,611,France,Female,30,9,88594.14,1,1,0,196332.45,0
354,499,France,Male,60,7,76961.6,2,1,1,83643.87,0
355,751,Germany,Male,36,5,73194.99,1,1,1,89222.66,0
356,615,France,Female,37,2,97440.02,2,1,1,139816.1,0
357,674,Spain,Female,41,4,126605.14,1,1,1,166694.93,0
358,674,France,Male,28,5,0.0,1,1,1,151925.25,0
359,670,France,Female,54,2,95507.12,1,1,1,100117.00934116702,0
360,584,France,Female,39,2,112687.69,1,1,1,127749.61,0
361,627,Spain,Female,30,6,0.0,1,1,1,113408.47,0
362,669,France,Male,37,4,0.0,1,1,0,132540.33,0
363,739,France,Female,36,0,0.0,2,0,0,133465.57,0
364,834,Germany,Female,57,8,112281.6,3,1,0,140225.14,1
365,516,Germany,Female,33,10,138847.9,1,1,1,127256.7,0
366,753,France,Female,40,0,3768.69,2,1,0,177065.24,1
367,609,Germany,Male,33,6,94126.67,1,0,0,93718.16,0
368,726,Spain,Female,56,8,123110.9,3,0,1,130113.78,1
369,763,France,Female,53,4,0.0,1,1,0,77203.72,1
370,517,Spain,Male,46,4,0.0,1,1,0,22372.78,0
371,445,Spain,Male,45,10,0.0,2,0,1,90977.48,0
372,705,France,Female,48,0,0.0,1,0,0,149772.61,0
373,568,Germany,Male,40,1,99282.63,1,0,0,134600.94,1
374,611,France,Male,27,7,0.0,2,1,1,157474.1,0
375,690,Germany,Male,32,0,106683.52,2,1,1,137916.49,0
376,580,Germany,Female,42,2,123331.36,1,0,0,103516.08,1
377,772,France,Male,34,9,0.0,1,1,0,170980.86,0
378,652,France,Female,37,4,0.0,2,1,0,143393.24,0
379,650,France,Male,37,9,0.0,2,1,0,17974.08,0
380,549,Germany,Female,55,1,137592.31,2,0,1,116548.02,1
381,609,France,Male,41,6,0.0,1,0,1,112585.19,0
382,484,Spain,Female,39,5,0.0,2,1,1,175224.12,0
383,800,France,Female,40,3,75893.11,2,1,0,132562.23,0
384,676,Germany,Female,48,2,124442.38,1,1,0,15068.53,1
385,537,France,Male,37,3,76534.49540312754,2,1,1,100117.00934116702,0
386,739,Spain,Male,31,1,0.0,2,1,1,58469.75,0
387,540,France,Male,48,2,109349.29,1,1,0,88703.04,1
388,671,Spain,Female,31,4,0.0,2,0,1,79270.02,0
389,629,Germany,Male,40,2,121647.54,2,1,1,64849.74,1
390,675,Spain,Male,66,5,115654.47,2,1,1,131970.86,0
391,618,Spain,Male,33,4,0.0,2,1,1,77550.18,0
392,707,Germany,Male,34,9,162691.16,2,1,0,94912.78,0
393,555,France,Male,55,4,146798.81,1,1,1,74149.77,0
394,608,Germany,Female,48,2,127924.25,1,1,0,32202.61,0
395,714,Germany,Female,49,5,140510.89,1,1,0,141914.94,0
396,556,France,Female,52,9,0.0,1,1,0,175149.2,1
397,638,France,Female,48,10,138333.03,1,1,1,47679.14,0
398,700,Spain,Male,28,8,159900.38,1,0,0,22698.56,0
399,637,France,Female,41,9,0.0,2,1,0,145477.36,0
400,656,Spain,Male,33,4,0.0,2,1,0,116706.0,0
401,646,France,Male,18,10,0.0,2,0,1,52795.15,0
402,745,France,Female,32,2,0.0,4,0,1,179705.13,1
403,694,Spain,Female,35,7,0.0,1,1,0,133570.43,1
404,716,France,Male,41,9,0.0,1,1,1,113267.48,0
405,515,Spain,Male,29,4,151012.55,2,1,0,9770.97,0
406,648,France,Male,37,0,0.0,1,0,1,117323.31,0
407,625,France,Male,36,9,108546.16,3,1,0,133807.77,1
408,670,France,Male,37,2,0.0,2,1,1,54229.74,0
409,691,Germany,Male,30,7,116927.89,1,1,0,21198.39,0
410,717,France,Female,28,1,90537.16,1,0,1,74800.99,0
411,682,Germany,Male,32,2,105163.88,2,1,1,164170.46,0
412,594,France,Male,38,4,0.0,2,0,0,186884.04,0
413,699,Germany,Male,59,3,106819.65,1,0,1,163570.25,0
414,769,France,Female,31,6,117852.26,2,1,0,147668.64,0
415,607,France,Male,45,7,123859.6,1,0,1,113051.57,0
416,661,Germany,Male,44,5,141136.62,1,1,0,189742.78,1
417,700,Spain,Male,29,8,0.0,2,0,1,152097.02,0
418,705,Germany,Female,56,2,143249.67,1,1,0,88428.41,1
419,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0
420,806,France,Female,67,1,0.0,2,0,1,103945.58,0
421,550,France,Male,25,0,0.0,2,1,1,184221.11,0
422,565,Germany,Male,31,2,89558.39,2,1,1,4441.54,0
423,578,France,Male,38,7,82259.29,1,1,0,8996.97,0
424,743,France,Female,73,5,0.0,2,0,1,107867.38,0
425,667,Spain,Male,38,1,87202.38,1,1,1,77866.91,0
426,636,France,Female,45,7,139859.23,1,1,1,108402.54,0
427,606,France,Male,36,1,155655.46,1,1,1,192387.51,1
428,514,France,Female,41,7,0.0,2,1,1,3756.65,0
429,702,France,Male,50,3,0.0,1,0,0,94949.84,0
430,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1
431,670,France,Female,27,5,79336.61,1,1,1,26170.08,0
432,505,Germany,Male,43,6,127146.68,1,0,0,137565.87,0
433,781,France,Female,48,0,57098.96,1,1,0,85644.06,1
434,805,France,Female,31,4,0.0,2,1,0,4798.12,0
435,759,France,Male,40,4,0.0,2,1,0,124615.59,0
436,443,France,Female,54,3,138547.97,1,1,1,70196.23,1
